,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
331,Itaituba,76,BR,1625808104,84,-4.2761,-55.9836,73.62,2.15
332,Khovd,34,MN,1625808106,46,48.0056,91.6419,72.37,6.87
333,Yarega,83,RU,1625808108,47,63.4354,53.5765,80.1,9.6
334,Bonfim,99,BR,1625808109,88,3.0833,-59.95,74.89,3.76
335,Esperance,100,AU,1625808111,62,-33.8667,121.9,64.58,18.37
336,Illela,100,NG,1625808113,80,13.7292,5.2975,72.52,11.05
337,Vila Velha,0,BR,1625807954,94,-20.3297,-40.2925,60.75,1.14
338,Norman Wells,75,CA,1625808117,52,65.282,-126.8329,68.04,3.44
339,Sistranda,38,NO,1625808119,84,63.7256,8.834,62.56,6.31
340,Funtua,59,NG,1625808120,89,11.5233,7.3081,69.46,6.58
341,St Albans,16,GB,1625808122,96,51.75,-0.3333,60.15,3.44
342,Oranjestad,40,AW,1625807843,78,12.524,-70.027,82.35,21.85
343,Saquarema,0,BR,1625808126,90,-22.92,-42.5103,63.66,3.56
344,Buraidah,1,SA,1625807934,9,26.326,43.975,97.25,2.08
345,Marabba,90,SD,1625808130,76,12.35,32.1833,76.05,17.25
346,Kodinsk,39,RU,1625808131,45,58.6881,99.1844,67.66,6.62
347,Manjacaze,0,MZ,1625808133,95,-24.7117,33.8828,57.7,5.3
348,Lavrentiya,100,RU,1625808135,96,65.5833,-171.0,43.0,6.08
349,Shirokiy,61,RU,1625808137,60,49.758,129.523,80.13,8.14
350,Azua,69,DO,1625808139,79,18.4532,-70.7349,76.82,4.07
